,Title,Wage min,Wage max,Currency,Link,Source
0,Аналитик данных / Data Analyst,0,0,0,https://nn.hh.ru/vacancy/69166398?from=vacancy_search_list&query=Data,hh
1,Аналитик данных / Data Analyst,0,0,0,https://nn.hh.ru/vacancy/76869170?from=vacancy_search_list&query=Data,hh
2,Дата-инженер / Data Engineer,130000,0,руб.,https://nn.hh.ru/vacancy/71236005?from=vacancy_search_list&query=Data,hh
3,Продуктовый аналитик-исследователь,150000,0,руб.,https://nn.hh.ru/vacancy/73265382?from=vacancy_search_list&query=Data,hh
4,Financial Specialist (Controlling),180000,250000,руб.,https://nn.hh.ru/vacancy/77005754?from=vacancy_search_list&query=Data,hh
5,Трафик-менеджер,60000,80000,руб.,https://nn.hh.ru/vacancy/76543769?from=vacancy_search_list&query=Data,hh
6,Data Scientist,160000,200000,руб.,https://nn.hh.ru/vacancy/76925483?from=vacancy_search_list&query=Data,hh
7,Data scientist,200000,240000,руб.,https://nn.hh.ru/vacancy/74376536?from=vacancy_search_list&query=Data,hh
8,Data Analyst,2000,5000,USD,https://nn.hh.ru/vacancy/76354970?from=vacancy_search_list&query=Data,hh
9,Data Engineer,5000,6000,USD,https://nn.hh.ru/vacancy/76458638?from=vacancy_search_list&query=Data,hh
10,Data scientist,150000,300000,руб.,https://nn.hh.ru/vacancy/74257661?from=vacancy_search_list&query=Data,hh
11,Senior Data Engineer,5000,6000,USD,https://nn.hh.ru/vacancy/77099714?from=vacancy_search_list&query=Data,hh
12,Junior Data Engineer,0,0,0,https://nn.hh.ru/vacancy/77198401?from=vacancy_search_list&query=Data,hh
13,Data Scientist (удаленно),0,0,0,https://nn.hh.ru/vacancy/76655873?from=vacancy_search_list&query=Data,hh
14,Эконометрист/Data scientist (Junior/Middle) в консалтинг,40000,0,руб.,https://nn.hh.ru/vacancy/75546364?from=vacancy_search_list&query=Data,hh
15,Data Analyst (Remote),3000,4000,USD,https://nn.hh.ru/vacancy/74736549?from=vacancy_search_list&query=Data,hh
16,Data Scientist,0,0,0,https://nn.hh.ru/vacancy/77217750?from=vacancy_search_list&query=Data,hh
17,Data Analyst (Remote),3000,4000,USD,https://nn.hh.ru/vacancy/74736548?from=vacancy_search_list&query=Data,hh
18,Аналитик БД (Junior data analytic),0,0,0,https://nn.hh.ru/vacancy/76855773?from=vacancy_search_list&query=Data,hh
19,Data Engineer,200000,280000,руб.,https://nn.hh.ru/vacancy/77015802?from=vacancy_search_list&query=Data,hh
20,Lead Data Engineer (удаленно),300000,400000,руб.,https://nn.hh.ru/vacancy/76243485?from=vacancy_search_list&query=Data,hh
21,Data-analyst,0,0,0,https://nn.hh.ru/vacancy/76417646?from=vacancy_search_list&query=Data,hh
22,Data Analyst,0,0,0,https://nn.hh.ru/vacancy/74157663?from=vacancy_search_list&query=Data,hh
23,Data scientist / Аналитик риск-моделей,120000,300000,руб.,https://nn.hh.ru/vacancy/77181469?from=vacancy_search_list&query=Data,hh
24,Trainee Data Engineer,0,0,0,https://nn.hh.ru/vacancy/77212010?from=vacancy_search_list&query=Data,hh
25,Data Analyst (middle/senior),2500,3500,USD,https://nn.hh.ru/vacancy/76866211?from=vacancy_search_list&query=Data,hh
26,Data analyst,0,0,0,https://nn.hh.ru/vacancy/75520500?from=vacancy_search_list&query=Data,hh
27,Data Scientist в команду качества геопоиска,0,0,0,https://nn.hh.ru/vacancy/76208597?from=vacancy_search_list&query=Data,hh
28,Специалист по обработке данных по количественным исследованиям / data process / аналитик / research,0,0,0,https://nn.hh.ru/vacancy/76349658?from=vacancy_search_list&query=Data,hh
29,Data analyst / Аналитик данных,90000,0,руб.,https://nn.hh.ru/vacancy/76690668?from=vacancy_search_list&query=Data,hh
30,Data Analyst / Аналитик Bl,0,140000,руб.,https://nn.hh.ru/vacancy/76348422?from=vacancy_search_list&query=Data,hh
31,Lead data scientist,300000,350000,руб.,https://nn.hh.ru/vacancy/76815797?from=vacancy_search_list&query=Data,hh
32,Дата-инженер (DATA Engineer),0,0,0,https://nn.hh.ru/vacancy/77109236?from=vacancy_search_list&query=Data,hh
33,Руководитель направления по данным,400000,0,руб.,https://nn.hh.ru/vacancy/76693747?from=vacancy_search_list&query=Data,hh
34,Data analyst,0,0,0,https://nn.hh.ru/vacancy/77194569?from=vacancy_search_list&query=Data,hh
35,Data scientist/Antifraud analyst,0,0,0,https://nn.hh.ru/vacancy/68898421?from=vacancy_search_list&query=Data,hh
36,Data - analyst / Аналитик данных,270000,350000,KZT,https://nn.hh.ru/vacancy/77187510?from=vacancy_search_list&query=Data,hh
37,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/77210869?from=vacancy_search_list&query=Data,hh
38,Data-analyst,0,0,0,https://nn.hh.ru/vacancy/76084276?from=vacancy_search_list&query=Data,hh
39,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/77210870?from=vacancy_search_list&query=Data,hh
40,Cloud Data Engineer,2000,0,EUR,https://nn.hh.ru/vacancy/77111587?from=vacancy_search_list&query=Data,hh
41,Аналитик данных / Data Scientist,0,0,0,https://nn.hh.ru/vacancy/73728017?from=vacancy_search_list&query=Data,hh
42,Data engineer,0,0,0,https://nn.hh.ru/vacancy/72202928?from=vacancy_search_list&query=Data,hh
43,Data Scientist ядра CVM,0,0,0,https://nn.hh.ru/vacancy/76169521?from=vacancy_search_list&query=Data,hh
44,Аналитик данных / Data Analyst,0,0,0,https://nn.hh.ru/vacancy/77202739?from=vacancy_search_list&query=Data,hh
45,Data Analyst (Аналитик данных),0,0,0,https://nn.hh.ru/vacancy/77090838?from=vacancy_search_list&query=Data,hh
46,Data scientist (time series),0,0,0,https://nn.hh.ru/vacancy/77066869?from=vacancy_search_list&query=Data,hh
47,Senior Data Engineer (Сlickhouse),200000,400000,руб.,https://nn.hh.ru/vacancy/77223139?from=vacancy_search_list&query=Data,hh
48,Assistant Professor - Data Science&AI (eng),0,0,0,https://nn.hh.ru/vacancy/73328471?from=vacancy_search_list&query=Data,hh
49,Marketing Data Researcher,0,0,0,https://nn.hh.ru/vacancy/77134250?from=vacancy_search_list&query=Data,hh
50,Data Scientist,0,0,0,https://nn.hh.ru/vacancy/77079497?from=vacancy_search_list&query=Data,hh
